Yil,Marka,Model,Yakit,Sanziman,Km,Boya,Degisen,Kaput_Tavan,Fiyat,beygir,Tramer,Hafta
2000,FIAT,MAREA,BENZIN,MANUAL,215725,0,0,0,120000,103.0,4388,9
2010,PEUGEOT,206,DIESEL,MANUAL,245682,4,0,0,225000,50.0,4288,9
2012,PEUGEOT,208,BENZIN,MANUAL,75055,3,7,0,216000,60.0,7341,9
2005,FIAT,ALBEA,BENZIN,AUTOMATIC,87590,2,0,0,227000,80.0,0,9
2012,RENAULT,KANGOO,DIESEL,MANUAL,227441,0,1,0,170000,85.0,0,9
2010,PEUGEOT,206+,DIESEL,MANUAL,215386,0,1,1,233000,50.0,672,9
2011,HYUNDAI,GETZ,DIESEL,MANUAL,108762,0,0,0,274000,65.0,0,9
2013,RENAULT,SYMBOL,DIESEL,MANUAL,83556,6,2,0,266000,55.0,0,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,66738,9,0,0,306000,55.0,5627,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,82736,0,2,0,315000,55.0,6891,9
2013,RENAULT,SYMBOL,DIESEL,MANUAL,75869,1,2,0,295000,55.0,3445,9
2013,RENAULT,SYMBOL,DIESEL,MANUAL,104457,1,1,1,292000,55.0,3490,9
2014,RENAULT,FLUENCE,DIESEL,MANUAL,79332,2,2,1,303000,55.0,7501,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,98375,3,3,1,296000,55.0,0,9
2013,RENAULT,CLIO_III,DIESEL,MANUAL,119998,5,2,0,335000,55.0,1377,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,91182,3,0,0,320000,55.0,2239,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,54694,4,2,1,335000,66.0,7814,9
2013,RENAULT,SYMBOL,DIESEL,MANUAL,79359,1,0,0,315000,55.0,0,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,51092,1,5,0,338000,66.0,9933,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,52441,5,0,0,318000,55.0,0,9
2013,FORD,FIESTA,DIESEL,MANUAL,165779,3,3,0,326000,55.0,0,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,95809,2,0,0,328000,55.0,255,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,96221,1,0,1,321000,55.0,1805,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,47552,5,2,0,340000,66.0,3927,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,92403,1,0,1,327000,55.0,973,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,37332,7,1,1,324000,66.0,6577,9
2013,PEUGEOT,301,DIESEL,MANUAL,73979,2,2,0,277000,68.0,0,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,182316,4,0,0,343000,66.0,9999,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,100329,0,0,1,332000,55.0,0,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,97202,0,0,0,330000,55.0,0,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,92035,0,0,0,328000,55.0,427,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,191554,4,1,0,352000,66.0,3673,9
2013,DACIA,LODGY,DIESEL,MANUAL,76812,2,1,0,352000,66.0,4856,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,172865,5,2,0,350000,66.0,0,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,183850,0,1,0,347000,66.0,10221,9
2013,FIAT,DOBLO,DIESEL,MANUAL,52146,0,0,0,337000,66.0,0,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,131219,3,2,0,380000,66.0,14657,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,57311,3,1,1,337000,55.0,4352,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,105056,9,0,0,367000,66.0,7555,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,95510,2,1,0,353000,55.0,0,9
2013,FIAT,DOBLO,DIESEL,MANUAL,41839,0,0,1,336000,66.0,0,9
2013,FIAT,DOBLO,DIESEL,MANUAL,48662,0,0,0,334000,78.39803988995874,0,9
2013,FIAT,DOBLO,DIESEL,MANUAL,46841,0,0,0,332000,78.39803988995874,0,9
2013,FORD,FIESTA,DIESEL,MANUAL,110993,5,1,1,351000,55.0,0,9
2013,RENAULT,CLIO,DIESEL,MANUAL,62059,2,2,0,360000,55.0,6240,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,77379,1,2,0,360000,55.0,0,9
2013,DACIA,LODGY,DIESEL,MANUAL,51374,5,0,0,353000,66.0,4089,9
2013,DACIA,LODGY,DIESEL,MANUAL,94971,1,1,0,352000,66.0,0,9
2013,DACIA,LODGY,BENZIN,MANUAL,47347,2,1,0,356000,66.0,0,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,111625,0,0,1,355000,55.0,0,9
2013,DACIA,LODGY,DIESEL,MANUAL,85640,3,0,0,354000,66.0,2156,9
2011,FORD,FOCUS,DIESEL,MANUAL,141020,4,1,0,376000,66.0,1353,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,91411,0,0,0,358000,55.0,1770,9
2013,DACIA,LODGY,DIESEL,MANUAL,90061,2,0,0,356000,66.0,1983,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,181448,0,2,1,355000,66.0,4210,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,16400,0,0,0,326000,66.0,6484,9
2016,TOYOTA,YARIS,BENZIN,MANUAL,6291,1,2,0,371000,51.0,8506,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,125155,0,2,0,365000,66.0,10029,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,54254,2,0,0,365000,55.0,1535,9
2013,DACIA,LODGY,DIESEL,MANUAL,75402,0,1,0,362000,66.0,3217,9
2013,DACIA,LODGY,DIESEL,MANUAL,102140,1,0,0,359000,66.0,0,9
2013,RENAULT,CLIO,DIESEL,MANUAL,134778,1,0,0,349000,55.0,0,9
2013,DACIA,LODGY,DIESEL,MANUAL,99810,0,1,0,356000,66.0,1765,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,155406,2,1,0,368000,66.0,5043,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,88403,0,0,0,365000,55.0,0,9
2013,DACIA,LODGY,DIESEL,MANUAL,103561,1,0,0,360000,66.0,890,9
2013,DACIA,LODGY,DIESEL,MANUAL,82707,1,1,0,355000,66.0,0,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,167421,1,2,0,350000,66.0,0,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,139985,4,3,0,345000,66.0,0,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,73445,0,0,0,370000,55.0,261,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,92025,6,2,0,368000,66.0,5545,9
